,postalCode,city,latitude,longitude,Median Age,median lengh of residence,Unemployed %,crimes,Cluster Labels,zonemoney
1,90040,Commerce,33.9909,-118.1532,33.2,10.0,9.51,128,1,161649.21719833565
3,90230,Culver City,33.9949,-118.3991,41.8,8.8,5.01,188,1,189157.9823967502
4,90232,Culver City,34.0168,-118.3973,42.2,7.1,3.39,188,1,178322.326306914
6,90270,Bell,33.989000000000004,-118.1877,31.3,7.9,7.64,184,1,146450.23442319556
7,90210,Beverly Hills,34.0901,-118.4065,49.1,11.2,4.16,106,0,357734.90036116424
8,90211,Beverly Hills,34.0652,-118.383,43.5,7.5,4.7,106,1,155255.02886431076
9,90212,Beverly Hills,34.0619,-118.3995,44.2,6.9,4.6,106,1,201566.35956264564
13,90240,Downey,33.9581,-118.1174,37.5,10.1,4.04,367,0,267930.43841778015
14,90241,Downey,33.9416,-118.1306,36.4,7.8,5.24,367,1,194483.326324823
15,90242,Downey,33.9218,-118.1395,34.5,8.3,5.27,367,1,206958.7413739509
16,90245,El Segundo,33.9243,-118.4119,42.3,7.8,5.11,62,1,211218.4096586178
18,90248,Gardena,33.8766,-118.2835,43.5,9.8,4.76,326,1,160385.03205305332
19,90249,Gardena,33.8998,-118.3199,39.1,10.3,6.18,326,1,156638.8982688849
20,90254,Hermosa Beach,33.8643,-118.3955,41.3,7.4,2.96,30,0,249709.6258880067
22,90260,Lawndale,33.8879,-118.351,35.7,7.9,5.03,129,1,189675.32113742235
25,90266,Manhattan Beach,33.8896,-118.3996,42.4,9.7,4.1,57,0,364925.9370669746
26,90277,Redondo Beach,33.8307,-118.3832,46.1,7.4,3.38,171,1,202554.4727606377
27,90278,Redondo Beach,33.8707,-118.3715,41.4,8.8,4.72,171,0,262138.15552855405
37,90501,Torrance,33.8268,-118.3118,38.1,8.0,6.05,267,1,185049.33621990422
38,90502,Torrance,33.8286,-118.292,43.0,10.6,5.72,267,1,207176.8909360092
39,90503,Torrance,33.8397,-118.3542,43.4,8.4,4.12,267,1,214019.23325062034
40,90504,Torrance,33.8708,-118.3295,42.7,10.2,6.08,267,1,213049.4747262005
41,90505,Torrance,33.8106,-118.3507,45.5,8.8,3.53,267,1,229204.36178247735
42,90602,Whittier,33.9693,-118.0337,34.8,7.6,4.85,233,1,143171.3420019627
43,90603,Whittier,33.9432,-117.9927,40.3,12.7,3.95,233,0,278109.324730242
44,90638,La Mirada,33.9067,-118.0101,39.9,12.7,5.01,89,0,269849.28185328183
48,90670,Santa Fe Springs,33.9464,-118.0838,36.7,9.2,3.33,105,1,209861.67545076282
49,90701,Artesia,33.8654,-118.0731,40.7,10.3,3.78,82,1,220321.24880797573
50,90703,Cerritos,33.8669,-118.0686,46.0,15.2,5.21,162,0,298472.4964387016
53,90712,Lakewood,33.8512,-118.1457,39.9,11.6,4.35,270,1,234495.8966370384
54,90713,Lakewood,33.8473,-118.1115,40.5,14.0,4.21,270,0,273039.7936210131
55,90715,Lakewood,33.8405,-118.0767,37.2,8.5,5.44,270,1,222888.75980156823
56,90716,Hawaiian Gardens,33.8296,-118.073,31.5,8.7,7.09,81,1,144464.35590277778
57,90717,Lomita,33.7938,-118.3172,41.4,8.4,5.56,66,1,148740.5576923077
62,90755,Signal Hill,33.8029,-118.1677,39.1,7.5,5.19,86,1,198027.914057439
69,91006,Arcadia,34.1324,-118.0264,45.0,11.8,4.35,76,0,287629.5759487965
70,91007,Arcadia,34.1243,-118.0515,46.5,9.3,4.18,76,1,220763.01231443993
71,91010,Azusa,34.1407,-117.9567,40.5,10.4,7.29,193,1,213769.49147211807
73,91011,La Cañada Flintridge,34.2217,-118.2051,46.8,14.2,2.6,13,0,466132.7959965928
74,91016,Monrovia,34.144,-118.0014,40.2,8.0,6.55,69,1,185332.12250436132
75,91024,Sierra Madre,34.1651,-118.0519,49.3,9.3,4.99,7,1,217379.06482038932
76,91030,South Pasadena,34.1109,-118.1547,43.1,8.2,4.31,32,1,222761.49661162548
83,91201,Glendale,34.1716,-118.2899,43.5,7.6,6.99,202,1,149157.07476299052
84,91202,Glendale,34.1652,-118.2656,44.1,7.9,6.21,202,1,166237.86192514544
85,91203,Glendale,34.1517,-118.2636,42.9,4.7,7.62,202,1,122989.6046158518
86,91206,Glendale,34.1556,-118.2322,45.0,7.8,6.69,202,1,136906.53984048613
87,91207,Glendale,34.1649,-118.2451,47.4,10.4,4.0,202,1,203902.55739323623
88,91208,Glendale,34.1921,-118.235,46.2,11.3,3.63,202,0,272440.8741626794
89,91214,Glendale,34.2316,-118.2457,45.0,10.9,3.22,202,0,264967.68880723574
93,91501,Burbank,34.1862,-118.3009,41.9,7.0,6.69,229,1,156180.20402731167
94,91502,Burbank,34.1745,-118.3059,41.7,5.8,7.83,229,1,89216.34085260946
95,91505,Burbank,34.169000000000004,-118.3442,42.5,8.0,4.86,229,1,188154.02116005102
96,91506,Burbank,34.1717,-118.3231,44.3,8.5,6.27,229,1,139728.0
98,91711,Claremont,34.1092,-117.7183,42.7,9.8,4.44,66,0,264514.81193341024
99,91722,Covina,34.0972,-117.9065,36.5,10.0,6.7,188,1,233519.11801361325
100,91723,Covina,34.086,-117.8843,36.9,7.3,5.92,188,1,175653.25897435896
101,91731,El Monte,34.0791,-118.0371,35.8,8.2,6.2,362,1,125034.116781158
104,91740,Glendora,34.1287,-117.8552,40.2,9.9,7.32,122,1,225484.21580406654
105,91741,Glendora,34.1537,-117.8437,41.8,11.0,5.88,122,0,276369.3892518441
106,91750,La Verne,34.1159,-117.7708,44.4,11.8,5.52,87,1,222455.30865612972
107,91754,Monterey Park,34.0534,-118.1271,44.8,10.2,5.13,124,1,163610.35975609758
108,91755,Monterey Park,34.048,-118.115,45.8,8.8,5.33,124,1,145897.12672836147
109,91765,Diamond Bar,34.0066,-117.8098,43.4,12.8,4.85,58,0,283102.5676190476
113,91773,San Dimas,34.1023,-117.8169,43.8,10.2,4.43,80,1,219705.9410343161
114,91775,San Gabriel,34.1155,-118.0857,44.0,10.7,3.74,136,1,228908.34586466165
115,91776,San Gabriel,34.089,-118.0955,42.1,8.2,4.95,136,1,161480.9691039307
116,91780,Temple City,34.1016,-118.0537,44.1,10.0,4.09,64,1,200180.68904347825
117,91790,West Covina,34.0673,-117.9366,37.0,9.9,6.83,292,0,254898.0669856459
118,91791,West Covina,34.0653,-117.8978,39.3,10.1,5.56,292,0,250753.1524184477
119,91792,West Covina,34.0229,-117.8975,38.1,9.3,7.49,292,1,235142.9624920534
121,91803,Alhambra,34.0745,-118.1434,42.6,9.1,3.92,193,1,178823.27451373573
